FA,CHC,CHH,COND,CECN,SEP,T,TIPOFALLA
S5,S5,S5,S5,S4,S0,0.908,C2
S5,S5,S5,S5,S4,S0,0.908,C2
S5,S5,S5,S5,S4,S0,0.908,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.914,C2
S5,S5,S5,S5,S4,S0,0.908,C2
